attendance_id,attendance_date,student_id,attendance_status
1,2025-01-06,66,Absent
2,2025-01-06,5,Absent
3,2025-01-06,199,Present
4,2025-01-06,17,Absent
5,2025-01-06,106,Present
6,2025-01-06,136,Present
7,2025-01-06,133,Present
8,2025-01-06,14,Present
9,2025-01-06,46,Present
10,2025-01-06,173,Present
11,2025-01-06,203,Present
12,2025-01-06,61,Present
13,2025-01-06,24,Present
14,2025-01-06,105,Present
15,2025-01-06,15,Absent
16,2025-01-06,152,Present
17,2025-01-06,130,Present
18,2025-01-06,226,Present
19,2025-01-06,135,Present
20,2025-01-06,113,Present
21,2025-01-06,57,Present
22,2025-01-06,140,Present
23,2025-01-06,139,Present
24,2025-01-06,149,Present
25,2025-01-06,120,Present
26,2025-01-06,83,Present
27,2025-01-06,71,Present
28,2025-01-06,96,Late
29,2025-01-06,22,Absent
30,2025-01-06,63,Present
31,2025-01-06,37,Present
32,2025-01-06,7,Present
33,2025-01-06,62,Absent
34,2025-01-06,1,Present
35,2025-01-06,128,Present
36,2025-01-06,114,Present
37,2025-01-06,215,Present
38,2025-01-06,119,Present
39,2025-01-06,3,Late
40,2025-01-06,74,Late
41,2025-01-06,129,Present
42,2025-01-06,200,Present
43,2025-01-06,20,Present
44,2025-01-06,69,Present
45,2025-01-06,158,Present
46,2025-01-06,112,Present
47,2025-01-06,84,Late
48,2025-01-06,198,Present
49,2025-01-06,102,Present
50,2025-01-06,197,Present
51,2025-01-06,42,Present
52,2025-01-06,172,Late
53,2025-01-06,183,Present
54,2025-01-06,211,Present
55,2025-01-06,125,Present
56,2025-01-06,6,Present
57,2025-01-06,186,Present
58,2025-01-06,115,Present
59,2025-01-06,93,Absent
60,2025-01-06,209,Present
61,2025-01-06,60,Present
62,2025-01-06,108,Present
63,2025-01-06,181,Present
64,2025-01-06,34,Present
65,2025-01-06,166,Absent
66,2025-01-06,124,Present
67,2025-01-06,45,Late
68,2025-01-06,100,Present
69,2025-01-06,146,Present
70,2025-01-06,228,Present
71,2025-01-06,28,Present
72,2025-01-06,101,Present
73,2025-01-06,39,Present
74,2025-01-06,185,Present
75,2025-01-06,97,Present
76,2025-01-06,53,Present
77,2025-01-06,103,Present
78,2025-01-06,47,Absent
79,2025-01-06,141,Present
80,2025-01-06,165,Present
81,2025-01-06,110,Present
82,2025-01-06,8,Present
83,2025-01-06,21,Present
84,2025-01-06,221,Present
85,2025-01-06,52,Present
86,2025-01-06,205,Present
87,2025-01-06,171,Late
88,2025-01-06,118,Present
89,2025-01-06,54,Present
90,2025-01-06,65,Present
91,2025-01-06,192,Late
92,2025-01-06,111,Present
93,2025-01-06,104,Present
94,2025-01-06,41,Present
95,2025-01-06,79,Present
96,2025-01-06,182,Present
97,2025-01-06,212,Present
98,2025-01-06,210,Present
99,2025-01-06,137,Present
100,2025-01-06,25,Present
101,2025-01-06,68,Present
102,2025-01-06,86,Present
103,2025-01-06,179,Present
104,2025-01-06,70,Present
105,2025-01-06,162,Present
106,2025-01-06,164,Absent
107,2025-01-06,230,Present
108,2025-01-06,157,Present
109,2025-01-06,4,Present
110,2025-01-06,27,Absent
111,2025-01-06,18,Present
112,2025-01-06,36,Present
113,2025-01-06,155,Present
114,2025-01-06,225,Present
115,2025-01-06,88,Present
116,2025-01-06,26,Present
117,2025-01-06,222,Present
118,2025-01-06,196,Present
119,2025-01-06,167,Present
120,2025-01-06,174,Present
121,2025-01-06,75,Present
122,2025-01-06,85,Absent
123,2025-01-06,219,Present
124,2025-01-06,177,Present
125,2025-01-06,161,Present
126,2025-01-06,116,Present
127,2025-01-06,56,Present
128,2025-01-06,189,Present
129,2025-01-06,11,Present
130,2025-01-06,169,Present
131,2025-01-06,176,Present
132,2025-01-06,206,Present
133,2025-01-06,55,Present
134,2025-01-06,204,Present
135,2025-01-06,213,Present
136,2025-01-06,201,Present
137,2025-01-06,40,Absent
138,2025-01-06,220,Present
139,2025-01-06,43,Absent
140,2025-01-06,156,Present
141,2025-01-06,50,Present
142,2025-01-06,29,Present
143,2025-01-06,121,Present
144,2025-01-06,142,Present
145,2025-01-06,49,Present
146,2025-01-06,95,Present
147,2025-01-06,150,Present
148,2025-01-06,160,Present
